Day,Scripture_Readings,URL
93,Luke 9,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/93
94,Luke 9,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/94
95,Luke 10,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/95
96,Luke 10,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/96
97,Luke 11,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/97
98,Luke 11,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/98
99,Luke 12,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/99
100,Luke 12,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/100
101,Luke 13,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/101
102,Luke 13,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/102
103,Luke 14,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/103
104,Luke 14,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/104
105,Luke 15,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/105
106,Luke 15,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/106
107,Luke 16,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/107
108,Luke 16,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/108
109,Luke 17,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/109
110,Luke 17,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/110
111,Luke 18,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/111
112,Luke 18,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/112
113,Luke 19,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/113
114,Luke 19,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/114
115,Luke 20,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/115
116,Luke 20,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/116
117,Luke 21,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/117
118,Luke 21,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/118
119,Luke 22,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/119
120,Luke 22,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/120
121,Luke 22,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/121
122,Luke 23,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/122
123,Luke 23,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/123
124,Luke 24,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/124
125,Luke 24,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/125
126,John 1,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/126
127,John 1,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/127
128,John 2,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/128
129,John 3,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/129
130,John 3,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/130
131,John 4,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/131
