Day,OT_Scripture_Readings,NT_Scripture_Readings,OT_URL,NT_URL,Video_URLs
191,Psalms 19; Psalms 20; Psalms 21,Acts 16,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/191,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/191,
192,Psalms 22; Psalms 23; Psalms 24,Acts 17,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/192,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/192,
193,Psalms 25; Psalms 26; Psalms 27,Acts 17,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/193,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/193,
194,Psalms 28; Psalms 29; Psalms 30,Acts 18,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/194,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/194,
195,Psalms 31; Psalms 32; Psalms 33,Acts 19,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/195,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/195,
196,Psalms 34; Psalms 35; Psalms 36,Acts 19,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/196,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/196,
197,Psalms 37; Psalms 38; Psalms 39,Acts 20,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/197,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/197,
198,Psalms 40; Psalms 41; Psalms 42,Acts 20,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/198,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/198,
199,Psalms 43; Psalms 44; Psalms 45,Acts 21,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/199,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/199,
200,Psalms 46; Psalms 47; Psalms 48,Acts 21,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/200,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/200,
201,Psalms 49; Psalms 50; Psalms 51,Acts 22,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/201,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/201,
202,Psalms 52; Psalms 53; Psalms 54,Acts 23,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/202,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/202,
203,Psalms 55; Psalms 56; Psalms 57,Acts 23,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/203,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/203,
204,Psalms 58; Psalms 59; Psalms 60,Acts 24,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/204,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/204,
205,Psalms 61; Psalms 62; Psalms 63,Acts 25,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/205,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/205,
