Day,Scripture_Readings,URL
98,1 Samuel 1; 1 Samuel 2; 1 Samuel 3,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/98
99,1 Samuel 4; 1 Samuel 5; 1 Samuel 6,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/99
100,1 Samuel 7; 1 Samuel 8; 1 Samuel 9,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/100
101,1 Samuel 10; 1 Samuel 11; 1 Samuel 12,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/101
102,1 Samuel 13; 1 Samuel 14; 1 Samuel 15,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/102
103,1 Samuel 16; 1 Samuel 17; 1 Samuel 18,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/103
104,1 Samuel 19; 1 Samuel 20,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/104
105,1 Samuel 21; 1 Samuel 22; 1 Samuel 23,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/105
106,1 Samuel 24; 1 Samuel 25; 1 Samuel 26,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/106
107,1 Samuel 27; 1 Samuel 28; 1 Samuel 29,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/107
108,1 Samuel 30; 1 Samuel 31,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/108
109,2 Samuel 1; 2 Samuel 2; 2 Samuel 3,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/109
110,2 Samuel 4; 2 Samuel 5; 2 Samuel 6,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/110
111,2 Samuel 7; 2 Samuel 8; 2 Samuel 9,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/111
112,2 Samuel 10; 2 Samuel 11; 2 Samuel 12,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/112
113,2 Samuel 13; 2 Samuel 14; 2 Samuel 15,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/113
114,2 Samuel 16; 2 Samuel 17; 2 Samuel 18,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/114
115,2 Samuel 19; 2 Samuel 20,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/115
116,2 Samuel 21; 2 Samuel 22,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/116
117,2 Samuel 23; 2 Samuel 24,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/117
118,1 Kings 1; 1 Kings 2; 1 Kings 3,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/118
119,1 Kings 4; 1 Kings 5; 1 Kings 6,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/119
120,1 Kings 7; 1 Kings 8,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/120
121,1 Kings 9; 1 Kings 10; 1 Kings 11,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/121
122,1 Kings 12; 1 Kings 13; 1 Kings 14,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/122
123,1 Kings 15; 1 Kings 16,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/123
124,1 Kings 17; 1 Kings 18,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/124
125,1 Kings 19; 1 Kings 20,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/125
126,1 Kings 21; 1 Kings 22,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/126
127,2 Kings 1; 2 Kings 2; 2 Kings 3,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/127
128,2 Kings 4; 2 Kings 5; 2 Kings 6,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/128
129,2 Kings 7; 2 Kings 8,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/129
130,2 Kings 9; 2 Kings 10; 2 Kings 11,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/130
131,2 Kings 12; 2 Kings 13; 2 Kings 14,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/131
132,2 Kings 15; 2 Kings 16; 2 Kings 17,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/132
133,2 Kings 18; 2 Kings 19; 2 Kings 20,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/133
